"age","job","marital","education","default","balance","housing","loan","previous","poutcome","P (y=no)","P (y=yes)","Prediction (y)","Prediction (y) (Confidence)"
30,"unemployed","married","primary","no",1787,"no","no",0,"unknown",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
35,"management","single","tertiary","no",1350,"yes","no",1,"failure",0.7799999713897705,0.2199999988079071,"no",0.7799999713897705
59,"blue-collar","married","secondary","no",0,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
35,"management","single","tertiary","no",747,"no","no",3,"failure",0.9200000166893005,0.07999999821186066,"no",0.9200000166893005
39,"services","married","secondary","no",9374,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
20,"student","single","secondary","no",502,"no","no",0,"unknown",0.7799999713897705,0.2199999988079071,"no",0.7799999713897705
37,"admin.","single","tertiary","no",2317,"yes","no",2,"failure",0.9200000166893005,0.07999999821186066,"no",0.9200000166893005
25,"blue-collar","single","primary","no",-221,"yes","no",0,"unknown",1,0,"no",1
31,"services","married","secondary","no",132,"no","no",1,"other",0.9399999976158142,0.05999999865889549,"no",0.9399999976158142
38,"management","divorced","unknown","no",0,"yes","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
44,"services","single","secondary","no",106,"no","no",0,"unknown",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
44,"entrepreneur","married","secondary","no",93,"no","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
41,"management","married","tertiary","no",5883,"no","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
55,"blue-collar","married","primary","no",627,"yes","no",0,"unknown",1,0,"no",1
67,"retired","married","unknown","no",696,"no","no",2,"failure",0.9300000071525574,0.07000000029802322,"no",0.9300000071525574
56,"self-employed","married","secondary","no",784,"no","yes",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
53,"admin.","married","secondary","no",105,"no","yes",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
68,"retired","divorced","secondary","no",4189,"no","no",0,"unknown",0.5400000214576721,0.46000000834465027,"no",0.5400000214576721
32,"management","single","tertiary","no",2536,"yes","no",0,"unknown",0.8100000023841858,0.1899999976158142,"no",0.8100000023841858
42,"admin.","divorced","secondary","no",1811,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
78,"retired","divorced","primary","no",229,"no","no",0,"unknown",0.75,0.25,"no",0.75
32,"blue-collar","married","secondary","no",2089,"yes","no",0,"unknown",1,0,"no",1
33,"management","married","secondary","no",3935,"yes","no",2,"failure",0.9200000166893005,0.07999999821186066,"no",0.9200000166893005
38,"management","single","tertiary","no",11971,"yes","no",3,"failure",0.9599999785423279,0.03999999910593033,"no",0.9599999785423279
32,"technician","married","tertiary","no",396,"yes","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
34,"management","single","tertiary","no",872,"yes","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
61,"admin.","married","unknown","no",4629,"yes","no",1,"success",0.25,0.75,"yes",0.75
45,"blue-collar","divorced","primary","no",844,"no","no",0,"unknown",1,0,"no",1
37,"technician","single","secondary","no",228,"yes","no",0,"unknown",1,0,"no",1
48,"admin.","married","secondary","no",3064,"yes","no",0,"unknown",1,0,"no",1
57,"management","married","secondary","no",82,"no","yes",0,"unknown",1,0,"no",1
33,"self-employed","single","tertiary","no",2155,"no","no",0,"unknown",0.9200000166893005,0.07999999821186066,"no",0.9200000166893005
36,"retired","single","secondary","no",101,"yes","yes",0,"unknown",1,0,"no",1
54,"technician","divorced","secondary","no",784,"yes","yes",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
48,"services","married","secondary","no",1355,"no","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
31,"services","married","secondary","no",338,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
42,"entrepreneur","divorced","tertiary","yes",2,"yes","no",0,"unknown",0.9200000166893005,0.07999999821186066,"no",0.9200000166893005
31,"management","single","tertiary","no",6248,"yes","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
56,"retired","married","secondary","no",344,"yes","no",0,"unknown",1,0,"no",1
54,"management","divorced","tertiary","no",3222,"no","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
41,"blue-collar","divorced","secondary","no",174,"yes","no",1,"other",0.9599999785423279,0.03999999910593033,"no",0.9599999785423279
40,"technician","single","secondary","no",591,"no","yes",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
50,"blue-collar","divorced","primary","no",388,"no","no",0,"unknown",1,0,"no",1
40,"unemployed","married","secondary","no",219,"yes","no",1,"failure",0.8799999952316284,0.11999999731779099,"no",0.8799999952316284
60,"retired","married","primary","no",5,"no","no",0,"unknown",1,0,"no",1
28,"admin.","single","secondary","no",177,"yes","yes",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
52,"services","married","secondary","no",657,"no","no",2,"failure",0.5199999809265137,0.47999998927116394,"no",0.5199999809265137
41,"technician","single","secondary","no",879,"no","yes",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
34,"blue-collar","married","secondary","no",1831,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
39,"blue-collar","married","primary","no",111,"no","no",0,"unknown",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
34,"blue-collar","married","primary","no",455,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
27,"services","single","secondary","no",-195,"yes","no",0,"unknown",0.7400000095367432,0.25999999046325684,"no",0.7400000095367432
32,"management","single","tertiary","no",3616,"no","no",0,"unknown",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
57,"blue-collar","married","secondary","no",14093,"no","no",0,"unknown",0.9300000071525574,0.07000000029802322,"no",0.9300000071525574
41,"admin.","married","tertiary","no",5426,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
49,"technician","married","secondary","no",5996,"no","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
34,"management","single","secondary","no",524,"no","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
32,"management","single","tertiary","no",574,"yes","no",3,"failure",0.9399999976158142,0.05999999865889549,"no",0.9399999976158142
33,"self-employed","married","tertiary","no",483,"yes","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
27,"housemaid","married","primary","no",0,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
25,"technician","single","secondary","no",505,"no","yes",0,"unknown",0.8700000047683716,0.12999999523162842,"no",0.8700000047683716
46,"management","divorced","tertiary","no",25,"no","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
31,"admin.","divorced","secondary","no",1890,"yes","no",0,"unknown",1,0,"no",1
